Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
182,145,65,0.97,778,Cardio,26.9,2.8,4,1,25.0
175,145,67,1.26,770,Yoga,26.0,2.8,3,1,23.37
179,144,64,1.13,885,Yoga,22.2,2.6,3,2,23.92
175,145,64,0.79,599,Cardio,28.4,2.6,4,2,24.87
176,147,65,1.24,758,Yoga,25.1,2.5,3,2,24.42
176,145,66,1.31,848,Yoga,26.6,2.5,4,2,24.85
174,139,63,1.4,862,Strength,27.1,2.6,4,2,23.09
159,142,64,1.05,774,HIIT,25.7,3.0,4,2,23.71
175,142,61,0.97,893,Strength,22.3,2.4,3,1,25.22
171,146,65,1.25,626,Yoga,21.3,2.8,3,2,24.01
168,139,62,0.94,768,Strength,26.6,2.0,3,2,22.83
173,145,65,1.05,774,Cardio,23.5,2.3,4,2,24.16
172,143,65,1.41,960,Cardio,23.1,2.4,3,1,22.69
179,150,65,1.49,766,Strength,26.3,2.3,3,1,24.09
183,146,64,1.17,772,Strength,26.5,2.9,3,2,26.55
160,144,64,1.62,553,Strength,24.9,2.4,4,1,26.19
177,145,66,0.9,792,Yoga,25.8,2.7,5,1,23.99
168,145,68,1.08,846,Yoga,26.4,2.4,3,1,24.32
176,147,67,1.39,884,HIIT,25.4,2.4,4,1,25.13
179,150,62,1.29,763,Strength,25.8,1.9,3,2,23.82
167,149,61,1.24,768,Cardio,25.6,2.7,3,1,22.83
180,146,65,1.12,804,Cardio,27.3,3.0,4,1,24.19
175,145,62,0.76,947,Yoga,27.0,2.7,4,2,25.52
170,147,64,1.32,794,HIIT,26.8,2.6,4,1,24.11
169,143,61,1.21,732,HIIT,25.3,2.7,4,2,23.6
181,142,62,0.92,800,HIIT,27.3,2.2,4,2,22.9
172,145,65,1.31,797,Strength,27.2,2.4,3,2,24.65
177,143,61,1.27,928,Strength,26.2,2.6,4,1,24.16
170,142,64,1.28,792,Strength,23.7,3.0,2,1,24.08
173,146,61,1.29,775,Yoga,24.3,2.7,3,2,25.13
168,144,64,1.46,777,Cardio,24.1,2.8,2,2,24.52
172,139,65,0.96,727,HIIT,24.6,2.9,4,2,24.05
177,136,64,1.31,900,Yoga,26.1,2.2,4,2,22.86
173,139,64,1.31,845,Cardio,23.2,2.9,3,2,23.64
170,145,63,1.34,980,HIIT,22.2,2.5,4,1,23.85
169,139,65,1.06,848,HIIT,24.7,2.6,4,1,25.43
170,146,64,0.91,742,Yoga,23.2,2.8,4,2,24.57
175,144,62,1.22,744,HIIT,27.6,2.7,3,2,25.06
170,143,65,1.24,970,HIIT,25.6,2.1,4,2,24.53
169,144,63,1.07,836,HIIT,26.1,2.8,3,2,24.22
176,143,63,1.33,814,Cardio,25.5,2.1,4,1,24.61
171,144,66,1.08,775,Cardio,22.1,2.7,4,2,22.45
172,146,63,1.35,601,Cardio,25.3,2.3,3,2,24.76
172,144,61,1.46,939,Cardio,22.7,2.5,3,2,24.02
171,142,65,0.61,804,HIIT,26.2,2.6,3,1,26.14
174,143,65,1.26,881,HIIT,26.6,2.7,4,2,24.4
182,151,67,1.28,815,Cardio,26.2,2.9,3,1,23.1
172,143,61,1.26,686,Strength,22.8,2.5,4,1,23.34
175,144,69,1.07,735,Cardio,24.4,2.5,3,2,26.62
168,142,63,1.08,844,Cardio,27.4,2.5,3,2,23.65
173,146,64,0.86,715,HIIT,24.5,2.2,2,1,23.66
177,139,67,1.08,908,Strength,29.1,2.5,3,2,22.89
167,145,64,1.08,772,HIIT,25.2,2.8,3,2,26.19
175,149,63,1.4,1076,Yoga,26.3,2.0,4,2,22.04
171,143,63,1.26,818,Yoga,25.1,1.8,3,1,23.3
175,143,62,1.19,770,Yoga,24.9,2.4,3,1,23.52
186,146,66,1.02,721,Cardio,25.9,2.8,3,1,23.77
168,146,63,1.22,888,Cardio,23.8,2.0,3,1,22.58
174,145,63,1.55,893,HIIT,24.8,2.8,3,1,23.37
179,146,65,1.26,845,Yoga,21.1,2.6,4,2,24.55
175,145,64,1.27,1027,Yoga,23.9,2.5,3,2,24.61
185,140,62,1.02,839,Strength,27.9,2.3,4,2,25.23
168,147,65,1.29,862,HIIT,25.0,3.3,4,2,23.77
171,144,68,0.95,775,Strength,26.2,2.8,3,2,25.55
184,146,66,1.13,846,Strength,21.8,2.8,2,1,22.79
165,144,66,0.98,827,HIIT,28.1,2.3,3,1,24.48
186,143,63,1.16,865,Yoga,25.3,2.3,4,2,24.68
175,146,68,1.41,851,HIIT,23.2,2.8,3,1,23.91
173,138,68,1.1,946,Strength,24.1,2.7,4,1,25.47
175,147,65,1.29,974,Cardio,25.8,2.1,3,2,24.65
169,142,65,0.95,1020,Strength,27.9,2.5,4,2,24.3
168,141,65,1.5,1059,Strength,28.7,2.7,3,2,25.54
176,142,64,1.15,802,HIIT,26.2,2.1,3,2,23.03
181,143,64,1.09,767,HIIT,22.1,2.5,3,2,24.77
175,147,64,1.34,873,Cardio,24.3,2.4,4,2,26.11
176,143,64,1.28,928,HIIT,23.2,2.3,4,1,24.9
171,148,64,1.17,775,Yoga,23.4,2.3,4,2,23.82
171,146,64,1.16,693,Strength,23.9,3.1,3,2,24.31
172,144,66,1.35,922,Yoga,25.0,2.2,3,1,25.86
169,152,64,0.99,995,Cardio,27.8,3.2,3,2,23.48
176,146,64,1.19,643,Strength,26.0,2.7,3,2,24.86
168,144,65,0.9,658,Cardio,24.0,2.5,4,2,25.47
171,148,65,1.21,672,Strength,24.4,2.1,3,2,22.59
165,139,68,0.87,838,HIIT,24.6,2.1,4,1,24.68
186,143,63,1.51,772,Yoga,23.5,2.8,4,1,22.71
170,146,62,1.06,862,Cardio,25.0,2.3,4,2,23.23
180,147,64,1.21,772,HIIT,26.6,2.1,3,1,22.85
170,140,64,0.91,895,HIIT,27.6,2.5,4,1,24.23
182,146,65,1.51,1029,HIIT,24.5,2.4,3,1,24.23
177,146,64,1.3,731,Yoga,25.2,3.0,4,2,23.58
171,146,65,1.17,709,HIIT,23.6,2.1,3,2,24.39
173,141,67,0.86,1129,Cardio,25.2,3.0,4,2,23.2
174,150,63,1.1,437,Cardio,23.7,2.2,4,1,23.71
172,142,66,1.21,737,Cardio,23.6,1.8,3,2,24.88
170,144,62,0.96,764,HIIT,25.1,2.9,3,1,24.65
181,148,66,1.44,878,HIIT,25.1,3.1,4,1,23.2
186,142,67,1.35,703,Cardio,27.2,2.4,4,2,23.92
174,147,64,1.41,593,Cardio,23.3,2.0,3,2,24.56
178,147,64,1.42,752,HIIT,24.5,2.4,3,2,24.55
177,144,63,0.97,611,Cardio,26.0,2.3,3,2,24.07
186,147,63,1.19,857,HIIT,27.2,2.3,4,1,23.82
179,142,65,1.26,984,Cardio,25.6,2.3,3,2,23.13
176,143,64,1.49,815,Yoga,24.3,2.4,4,2,24.28
179,141,62,1.16,961,Yoga,28.1,2.7,4,1,22.39
174,145,65,1.5,719,Strength,24.3,2.6,3,1,23.88
167,144,69,1.12,800,HIIT,21.7,2.8,3,1,24.33
171,144,68,1.34,792,Yoga,23.9,2.5,3,1,25.09
173,145,66,1.14,622,HIIT,24.4,2.3,4,2,23.57
170,141,66,1.16,812,Yoga,25.0,2.9,3,1,25.01
175,143,64,1.14,895,Strength,23.2,2.5,3,1,23.29
175,148,67,1.24,905,Yoga,23.8,2.9,4,1,23.81
167,144,65,1.21,734,HIIT,26.0,2.9,4,1,24.8
166,142,65,1.62,951,Strength,20.6,2.9,3,1,24.08
171,147,65,1.36,710,HIIT,25.1,2.6,3,1,24.6
173,146,66,0.8,932,HIIT,29.0,2.5,3,2,22.87
169,149,67,1.26,787,Cardio,26.3,2.2,4,2,24.24
180,145,65,1.09,715,HIIT,24.5,2.1,3,1,23.42
174,146,64,1.05,719,Yoga,28.2,2.5,4,1,25.09
181,143,65,1.12,571,Strength,24.4,2.4,3,1,24.96
165,142,61,1.19,754,HIIT,19.5,2.7,4,2,23.75
179,147,67,1.47,714,Strength,24.8,2.5,4,2,22.3
180,140,66,1.23,765,Cardio,24.2,1.8,4,1,24.02
177,142,63,0.98,863,HIIT,26.8,2.4,3,2,26.37
168,149,63,1.04,883,Strength,23.5,3.0,3,1,25.12
172,141,68,0.92,805,Cardio,23.6,1.9,3,2,23.61
178,145,65,1.16,632,HIIT,26.6,2.2,3,2,25.37
182,144,63,1.31,763,Cardio,22.8,2.6,3,2,24.31
169,146,64,1.27,789,HIIT,26.8,2.4,3,1,25.55
168,143,66,0.95,692,Cardio,25.0,2.9,4,1,24.52
171,141,65,1.14,844,Strength,26.5,2.4,4,1,24.3
168,142,61,1.17,765,Cardio,22.5,3.0,3,1,23.91
172,150,65,1.1,915,Cardio,28.3,2.9,4,2,23.97
173,148,62,1.16,901,Strength,26.0,2.6,3,2,23.71
176,147,65,1.19,716,HIIT,23.4,2.7,4,1,24.11
181,149,67,1.07,839,Strength,23.2,2.9,2,1,23.83
172,138,66,1.41,828,HIIT,26.3,2.3,3,1,23.86
177,144,66,1.11,676,HIIT,27.7,2.6,3,2,22.54
178,140,63,1.47,780,Yoga,20.3,2.6,4,2,23.07
178,144,62,0.75,748,Cardio,23.5,2.3,4,1,23.86
173,147,63,1.18,901,HIIT,28.2,2.6,4,1,25.79
179,143,65,1.19,790,Strength,22.3,2.3,3,2,23.82
177,145,63,1.12,643,HIIT,23.7,3.0,4,1,24.76
174,143,68,1.36,974,Cardio,23.4,2.4,3,1,23.4
165,144,61,1.44,836,Yoga,24.9,2.6,4,1,21.89
168,146,64,1.05,697,HIIT,25.4,2.4,4,1,23.59
181,143,66,1.16,685,Yoga,24.5,2.2,4,2,24.6
166,140,64,1.42,917,Cardio,28.3,2.1,3,2,23.11
169,145,66,1.12,900,Cardio,25.7,2.2,3,2,23.06
181,139,64,1.14,706,HIIT,23.3,2.2,4,2,24.96
175,144,62,1.4,681,Yoga,26.4,2.8,3,2,24.93
175,143,64,1.37,855,Yoga,26.4,2.5,2,2,23.3
179,148,67,1.37,787,Strength,24.8,2.3,3,1,24.32
180,141,69,1.11,871,Cardio,24.7,2.4,4,1,26.03
174,143,67,0.97,892,Strength,27.1,2.1,4,2,24.1
183,146,65,1.42,860,Yoga,24.4,2.6,2,2,24.53
167,144,61,1.16,886,Yoga,22.6,2.6,4,2,23.08
179,144,64,1.22,596,HIIT,25.5,2.5,4,1,24.1
181,145,65,1.61,856,Strength,26.8,2.0,3,2,25.11
178,143,68,1.52,973,HIIT,23.7,2.3,3,1,24.84
171,146,65,1.29,773,HIIT,24.3,2.7,3,2,25.47
171,149,65,1.26,792,HIIT,27.6,2.3,4,1,24.74
170,141,66,1.39,975,HIIT,21.4,2.2,4,2,25.18
186,144,68,1.45,904,Yoga,29.6,2.6,3,2,24.99
